	WP_id	cds	OG	KO id	KO description
Leaf187|1	WP_003156543.1	cds453	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf187|2	WP_012368950.1	cds164	OG0007198		
Leaf187|3	WP_012368955.1	cds159	OG0000599	K00948	PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
Leaf187|4	WP_012369013.1	cds433	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Leaf187|5	WP_012369014.1	cds434	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22
Leaf187|6	WP_012369016.1	cds436	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
Leaf187|7	WP_012369017.1	cds437	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
Leaf187|8	WP_012369019.1	cds439	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Leaf187|9	WP_012369020.1	cds440	OG0001095	K02895	RP-L24; large subunit ribosomal protein L24
Leaf187|10	WP_012369023.1	cds443	OG0001092	K02994	RP-S8; small subunit ribosomal protein S8
Leaf187|11	WP_012369032.1	cds452	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf187|12	WP_012369719.1	cds628	OG0001243	K02970	RP-S21; small subunit ribosomal protein S21
Leaf187|13	WP_012369771.1	cds578	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Leaf187|14	WP_012370001.1	cds895	OG0007199	K09976	uncharacterized protein
Leaf187|15	WP_012370646.1	cds1779	OG0007200		
Leaf187|16	WP_012370658.1	cds1791	OG0001557	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit
Leaf187|17	WP_012370671.1	cds1804	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Leaf187|18	WP_012370721.1	cds1855	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2
Leaf187|19	WP_012370841.1	cds1975	OG0001340	K02911	RP-L32; large subunit ribosomal protein L32
Leaf187|20	WP_012370920.1	cds2053	OG0000589	K16509	spxA; regulatory protein spx
Leaf187|21	WP_012370976.1	cds2106	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
Leaf187|22	WP_012370978.1	cds2108	OG0001121	K02888	RP-L21; large subunit ribosomal protein L21
Leaf187|23	WP_012371023.1	cds2149	OG0000506	K11189	PTS-HPR; phosphocarrier protein
Leaf187|24	WP_012371057.1	cds2179	OG0001003	K02887	RP-L20; large subunit ribosomal protein L20
Leaf187|25	WP_012371159.1	cds2282	OG0007201	K07570	GSP13; general stress protein 13
Leaf187|26	WP_012371190.1	cds2311	OG0000918	K07400	nfuA; Fe/S biogenesis protein NfuA
Leaf187|27	WP_012371267.1	cds2391	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
Leaf187|28	WP_012371910.1	cds3037	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Leaf187|29	WP_016404085.1	cds587	OG0000345	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
Leaf187|30	WP_017474135.1	cds14	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
Leaf187|31	WP_017474136.1	cds13	OG0000048	K03892	arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
Leaf187|32	WP_017474137.1	cds12	OG0000623	K14060	pinR; putative DNA-invertase from lambdoid prophage Rac
Leaf187|33	WP_023466519.1	cds177	OG0007202		
