Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2520533540 G373DRAFT_03571 alcohol dehydrogenase [Arthrobacter sp. 49Tsu3.1M3]	0.58155	473	195	154	119	124	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00003	2563777654 BR70DRAFT_0855 homoserine dehydrogenase [Curtobacterium sp. UNCCL17]	0.58876	439	193	146	110	100	N	N	Y	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00004	"2522510187 H283DRAFT4608 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Terracoccus sp. 273MFTsu3.1]"	0.58777	154	78	40	49	36	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	2563778714 BR70DRAFT_1917 glycerol dehydrogenase [Curtobacterium sp. UNCCL17]	0.60042	17	6	7	2	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00008	2644094627 Ga0102219_11442 L-iditol 2-dehydrogenase [Leifsonia sp. Root227]	0.57806	260	116	73	62	71	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00009	2645184576 Ga0102317_1097 mannitol-1-phosphate 5-dehydrogenase [Curtobacterium sp. Leaf261]	0.38349	161	110	33	45	18	Y	Y	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	N	N
KO:K00010	2522508261 H283DRAFT2676 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [Terracoccus sp. 273MFTsu3.1]	0.56979	657	270	195	166	192	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	2644876359 Ga0102288_101478 UDPglucose 6-dehydrogenase [Frigoribacterium sp. Leaf44]	0.58686	529	219	187	116	123	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00013	2596279336 FG29DRAFT_3505 histidinol dehydrogenase [Curtobacterium sp. UNCCL20]	0.58758	387	164	133	89	90	N	Y	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00014	2557408715 C560DRAFT_01392 shikimate dehydrogenase [Arthrobacter sp. 9MFCol3.1]	0.58856	684	314	217	176	153	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00015	2631955698 Ga0077197_12438 glyoxylate reductase [Arthrobacter chlorophenolicus Mor30.16]	0.51176	70	21	28	9	21	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00016	2587863430 EW62DRAFT_1890 L-lactate dehydrogenase [Herbiconiux sp. YR403]	0.57116	117	58	38	28	21	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2645355425 Ga0102345_11893 3-hydroxybutyrate dehydrogenase/3-oxoacyl-[acyl-carrier protein] reductase [Aeromicrobium sp. Leaf291]	0.56642	267	101	94	68	72	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00020	2615976925 Ga0066716_11372 3-hydroxyisobutyrate dehydrogenase [Arthrobacter sp. CF158]	0.58989	629	258	209	158	162	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00021	2645495583 Ga0102384_13236 hydroxymethylglutaryl-CoA reductase (NADPH) [Plantibacter sp. Leaf171]	0.6388	44	16	25	9	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00023	2644034761 Ga0102207_110451 acetoacetyl-CoA reductase [Nocardioides sp. Root190]	0.52375	13	4	5	3	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00024	2515852590 B141DRAFT_02106 malate dehydrogenase (NAD) [Actinopolymorpha alba DSM 45243]	0.56141	289	104	115	71	70	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00027	2645409306 Ga0102357_111309 malate dehydrogenase (oxaloacetate-decarboxylating) [Nocardioides sp. Leaf307]	0.54122	559	183	190	134	186	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N
KO:K00031	2643888317 Ga0102178_1232 isocitrate dehydrogenase [Microbacterium sp. Root61]	0.58766	403	169	139	90	95	N	Y	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00033	2644763877 Ga0102257_101642 6-phosphogluconate dehydrogenase [Frigoribacterium sp. Leaf8]	0.58795	756	332	255	187	169	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00034	2644631049 Ga0102230_142111 glucose 1-dehydrogenase [Streptomyces sp. Root264]	0.55636	147	52	42	42	53	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00036	2608979007 Ga0066385_0305 glucose-6-phosphate 1-dehydrogenase [Microbacterium sp. RU370.1]	0.58795	788	366	249	185	173	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00038	2521772679 H293DRAFT_06192 3alpha(or 20beta)-hydroxysteroid dehydrogenase [Streptomyces canus 299MFChir4.1]	0.57301	326	127	93	96	106	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00040	2640404733 Ga0079759_3288 fructuronate reductase [Leifsonia sp. 197AMF]	0.57197	164	92	34	51	38	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00042	2522442163 H542DRAFT_04073 2-hydroxy-3-oxopropionate reductase [Arthrobacter nicotinovorans 26Cvi1.1E]	0.5689	322	130	109	78	83	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00045	2645503131 Ga0102386_12823 mannitol 2-dehydrogenase [Arthrobacter sp. Leaf337]	0.56664	89	36	27	12	26	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00046	2616695858 Ga0007938_104379 gluconate 5-dehydrogenase [Streptomyces mirabilis OK461]	0.59434	276	132	77	81	67	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00052	2645475195 Ga0102379_11711 3-isopropylmalate dehydrogenase [Microbacterium sp. Leaf159]	0.58874	442	179	156	92	107	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00053	2645356802 Ga0102345_12268 ketol-acid reductoisomerase [Aeromicrobium sp. Leaf291]	0.58876	430	183	150	105	97	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00054	2645525336 Ga0102391_1569 hydroxymethylglutaryl-CoA reductase [Microbacterium sp. Leaf179]	0.6769	10	6	2	2	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00055	2635643209 Ga0082242_13290 aryl-alcohol dehydrogenase [Actinobacteria bacterium OV320]	0.53371	177	61	61	43	55	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00057	2563777798 BR70DRAFT_0999 glycerol-3-phosphate dehydrogenase (NAD(P)+) [Curtobacterium sp. UNCCL17]	0.5884	411	170	147	95	94	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00058	642591460 KRH_20570 D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95) [Kocuria rhizophila DC2201]	0.58766	715	294	238	167	183	N	Y	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00059	646657962 SCAB_65601 putative dehydrogenase [Streptomyces scabiei 87.22]	0.58876	2917	1125	1001	735	791	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00060	2645448950 Ga0102372_112435 threonine 3-dehydrogenase [Arthrobacter sp. Leaf145]	0.56806	263	102	89	67	72	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00064	2645427243 Ga0102362_12461 D-threo-aldose 1-dehydrogenase [Microbacterium sp. Leaf320]	0.589	362	183	99	123	80	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N
KO:K00065	"2644032764 Ga0102207_107187 3-oxoacyl-[acyl-carrier protein] reductase/2-deoxy-D-gluconate 3-dehydrogenase/meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [Nocardioides sp. Root190]"	0.59789	131	73	30	35	28	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00066	2644435091 Ga0102121_127216 GDP-mannose 6-dehydrogenase [Streptomyces sp. Root1304]	0.15984	59	17	21	15	21	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00067	2645439238 Ga0102369_111024 dTDP-4-dehydrorhamnose reductase [Leifsonia sp. Leaf325]	0.55309	186	84	50	48	52	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00073	2635639618 Ga0082242_127339 ureidoglycolate dehydrogenase (NAD+) [Actinobacteria bacterium OV320]	0.1264	13	4	9	4	0	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00074	2644792088 Ga0102266_11647 3-hydroxybutyryl-CoA dehydrogenase [Agreia sp. Leaf210]	0.58192	1120	374	444	249	302	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00075	2609837831 Ga0066717_1099 UDP-N-acetylmuramate dehydrogenase [Arthrobacter sp. OK909]	0.58876	401	166	144	90	91	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00076	2643962190 Ga0102193_14220 7-alpha-hydroxysteroid dehydrogenase [Nocardioides sp. Root682]	0.20631	20	11	2	11	7	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00077	2640399725 Ga0079753_2076 2-dehydropantoate 2-reductase [Leifsonia sp. 21MFCrub1.1]	0.58832	363	167	111	96	85	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00082	2616700175 Ga0007938_11718 diaminohydroxyphosphoribosylaminopyrimidine deaminase [Streptomyces mirabilis OK461]	0.53926	160	63	39	48	58	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00088	2645495679 Ga0102384_13332 IMP dehydrogenase [Plantibacter sp. Leaf171]	0.58876	1132	473	406	257	253	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00091	2641419718 Ga0082240_10422 dihydroflavonol-4-reductase [Actinobacteria bacterium OK074]	0.57214	31	16	7	14	8	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00094	2616368136 Ga0066714_105203 L-iditol 2-dehydrogenase [Arthrobacter sp. YR096]	0.07504	8	3	1	1	4	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested
