	WP_id	cds	OG	KO id	KO description
Leaf130|1	KQQ65447.1	cds3611			
Leaf130|2	KQQ65448.1	cds3612			
Leaf130|3	KQQ65449.1	cds3613	OG0003165		
Leaf130|4	KQQ65450.1	cds3614	OG0006108		
Leaf130|5	KQQ65451.1	cds3615	OG0004062		
Leaf130|6	KQQ65452.1	cds3616			
Leaf130|7	KQQ65453.1	cds3617			
Leaf130|8	KQQ65454.1	cds3618			
Leaf130|9	KQQ65455.1	cds3619	OG0006504		
Leaf130|10	KQQ65456.1	cds3620	OG0000025	K19736	aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
Leaf130|11	KQQ65457.1	cds3621	OG0000623	K14060	pinR; putative DNA-invertase from lambdoid prophage Rac
Leaf130|12	KQQ65458.1	cds3622			
Leaf130|13	KQQ65459.1	cds3624	OG0001692	K01174	nuc; micrococcal nuclease [EC:3.1.31.1]
Leaf130|14	KQQ65460.1	cds3625			
Leaf130|15	KQQ65461.1	cds3626			
Leaf130|16	KQQ65462.1	cds3627	OG0004544	K03200	virB5; type IV secretion system protein VirB5
Leaf130|17	KQQ65463.1	cds3628	OG0002523	K20530	trbE; type IV secretion system protein TrbE
Leaf130|18	KQQ65464.1	cds3629			
Leaf130|19	KQQ65465.1	cds3630	OG0000296	K08309	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]
Leaf130|20	KQQ65466.1	cds3631			
Leaf130|21	KQQ65467.1	cds3632	OG0002522	K03205	virD4; type IV secretion system protein VirD4
Leaf130|22	KQQ65468.1	cds3633	OG0000296	K08309	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]
Leaf130|23	KQQ65469.1	cds3634			
Leaf130|24	KQQ65470.1	cds3635			
Leaf130|25	KQQ65471.1	cds3636	OG0000512	K02283	cpaF; pilus assembly protein CpaF
Leaf130|26	KQQ65472.1	cds3637	OG0003565	K03195	virB10; type IV secretion system protein VirB10
Leaf130|27	KQQ65473.1	cds3638	OG0003564	K20532	trbG; type IV secretion system protein TrbG
Leaf130|28	KQQ65474.1	cds3639			
Leaf130|29	KQQ65475.1	cds3640	OG0005259	K03201	virB6; type IV secretion system protein VirB6
Leaf130|30	KQQ65476.1	cds3641			
Leaf130|31	KQQ65477.1	cds3642			
Leaf130|32	KQQ65478.1	cds3643			
Leaf130|33	KQQ65479.1	cds3644			
Leaf130|34	KQQ65480.1	cds3645	OG0001727	K03496	parA; chromosome partitioning protein
Leaf130|35	KQQ65481.1	cds3646			
Leaf130|36	KQQ65482.1	cds3647			
Leaf130|37	KQQ65483.1	cds3648			
Leaf130|38	KQQ65484.1	cds3649			
Leaf130|39	KQQ65485.1	cds3650			
Leaf130|40	KQQ65486.1	cds3652			
Leaf130|41	KQQ65487.1	cds3653			
Leaf130|42	KQQ65488.1	cds3654			
Leaf130|43	KQQ65489.1	cds3655			
Leaf130|44	KQQ65490.1	cds3656			
Leaf130|45	KQQ65491.1	cds3657			
Leaf130|46	KQQ65492.1	cds3658			
Leaf130|47	KQQ65493.1	cds3659			
Leaf130|48	KQQ65494.1	cds3660			
Leaf130|49	KQQ65495.1	cds3661			
Leaf130|50	KQQ65496.1	cds3623	OG0003165		
Leaf130|51	KQQ65497.1	cds3651			
Leaf130|52	KQQ65595.1	cds3565	OG0001158	K09001	anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
