	WP_id	cds	OG	KO id	KO description
Leaf404|1	WP_002976354.1	cds1070	OG0000688	K02078	acpP; acyl carrier protein
Leaf404|2	WP_002976362.1	cds1066	OG0002536		
Leaf404|3	WP_002983226.1	cds191	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Leaf404|4	WP_007839480.1	cds179	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf404|5	WP_007839493.1	cds183	OG0001090	K02907	RP-L30; large subunit ribosomal protein L30
Leaf404|6	WP_027373683.1	cds2892	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Leaf404|7	WP_027381692.1	cds1614	OG0003711		
Leaf404|8	WP_027383312.1	cds192	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17
Leaf404|9	WP_027383325.1	cds3233	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Leaf404|10	WP_027385360.1	cds1325	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
Leaf404|11	WP_027387199.1	cds180	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf404|12	WP_034674127.1	cds2675	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Leaf404|13	WP_034677604.1	cds453	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
Leaf404|14	WP_034678015.1	cds197	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Leaf404|15	WP_034679146.1	cds3053	OG0001108	K02867	RP-L11; large subunit ribosomal protein L11
Leaf404|16	WP_034679196.1	cds75	OG0002286	K02610	paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB
Leaf404|17	WP_034694697.1	cds177	OG0001087	K02948	RP-S11; small subunit ribosomal protein S11
Leaf404|18	WP_034701860.1	cds3384	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Leaf404|19	WP_034709134.1	cds484	OG0005454		
Leaf404|20	WP_034757900.1	cds1380	OG0000368	K03086	rpoD; RNA polymerase primary sigma factor
Leaf404|21	WP_034760742.1	cds2891	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
Leaf404|22	WP_047397369.1	cds1089	OG0000899	K02871	RP-L13; large subunit ribosomal protein L13
Leaf404|23	WP_047442254.1	cds188	OG0001093	K02954	RP-S14; small subunit ribosomal protein S14
Leaf404|24	WP_047447219.1	cds3133	OG0000799	K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
Leaf404|25	WP_055983809.1	cds3059	OG0000679	K02358	tuf; elongation factor Tu
Leaf404|26	WP_055987532.1	cds3232	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7
Leaf404|27	WP_056012959.1	cds1047			
Leaf404|28	WP_056012968.1	cds1050	OG0002335		
Leaf404|29	WP_056026310.1	cds1	OG0000340	K02437	gcvH; glycine cleavage system H protein
Leaf404|30	WP_056026313.1	cds2	OG0005483		
Leaf404|31	WP_056026315.1	cds3	OG0000969	K03550	ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]
