	WP_id	cds	OG	KO id	KO description
Leaf176|1	WP_008244591.1	cds3960	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
Leaf176|2	WP_008244597.1	cds3957	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Leaf176|3	WP_008245450.1	cds3164	OG0004555		
Leaf176|4	WP_008245454.1	cds3167	OG0000591	K01689	ENO; enolase [EC:4.2.1.11]
Leaf176|5	WP_008245456.1	cds3169	OG0003710	K00389	yidH; putative membrane protein
Leaf176|6	WP_008245470.1	cds3173			
Leaf176|7	WP_008245473.1	cds3175	OG0006526	K10938	acfC; accessory colonization factor AcfC
Leaf176|8	WP_008245480.1	cds3176	OG0001236		
Leaf176|9	WP_008245487.1	cds3179	OG0001235	K00387	SUOX; sulfite oxidase [EC:1.8.3.1]
Leaf176|10	WP_008508386.1	cds526	OG0000688	K02078	acpP; acyl carrier protein
Leaf176|11	WP_010599196.1	cds212	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf176|12	WP_010599638.1	cds564	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf176|13	WP_010599807.1	cds4038	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Leaf176|14	WP_010599808.1	cds4037	OG0005453		
Leaf176|15	WP_010599887.1	cds3994	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf176|16	WP_010599888.1	cds3993	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf176|17	WP_010599893.1	cds3988	OG0000957	K02988	RP-S5; small subunit ribosomal protein S5
Leaf176|18	WP_010599900.1	cds3981	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Leaf176|19	WP_010599901.1	cds3980	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17
Leaf176|20	WP_010599903.1	cds3978	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
Leaf176|21	WP_010599906.1	cds3975	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Leaf176|22	WP_010601094.1	cds2331	OG0001108	K02867	RP-L11; large subunit ribosomal protein L11
Leaf176|23	WP_010601359.1	cds2013	OG0000368	K03086	rpoD; RNA polymerase primary sigma factor
Leaf176|24	WP_010601723.1	cds1560	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Leaf176|25	WP_010601897.1	cds328	OG0001377	K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
