KO	category-1	category-2	category-3	category-4	N of genes
K00003	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00003	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00003	Metabolism	Lysine biosynthesis	Lysine biosynthesis	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00005	Metabolism	Propanoate metabolism	Propanoate metabolism	gldA; glycerol dehydrogenase [EC:1.1.1.6]	1
K00005	Metabolism	Glycerolipid metabolism	Glycerolipid metabolism	gldA; glycerol dehydrogenase [EC:1.1.1.6]	1
K00009	Metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	3
K00010	Metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	5
K00010	Metabolism	Streptomycin biosynthesis	Streptomycin biosynthesis	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	5
K00012	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	2
K00012	Metabolism	Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	2
K00012	Metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	2
K00013	Metabolism	Histidine metabolism	Histidine metabolism	hisD; histidinol dehydrogenase [EC:1.1.1.23]	1
K00014	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	aroE; shikimate dehydrogenase [EC:1.1.1.25]	2
K00020	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	10
K00024	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Pyruvate metabolism	Pyruvate metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Methane metabolism	Methane metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00027	Metabolism	Pyruvate metabolism	Pyruvate metabolism	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	1
K00027	Environmental Information Processing	Two-component system	Two-component system	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	1
K00029	Metabolism	Pyruvate metabolism	Pyruvate metabolism	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	2
